問題番号,設問,正解,選択肢1,選択肢1解説,選択肢2,選択肢2解説,選択肢3,選択肢3解説,選択肢4,選択肢4解説,ドメイン
問題87,次のテクニックのうち、攻撃者がデバイスをネットワークケーブルに直接接続することで有線ネットワークの盗聴を可能にできるのはどれですか?,盗聴,パケットスニッフィング,パケットスニッフィングは、ネットワーク上のデータパケットをキャプチャするプロセスです。パケットスニファーは悪意を持って使用される可能性がありますが、パケットスニファーの行為自体は、データキャプチャの方法やネットワークケーブルへの直接接続を指定しません。,中間者攻撃,中間者攻撃には、2者間の通信を傍受し、潜在的に変更することが含まれますが、必ずしも物理ネットワークケーブルに直接アクセスする必要はありません。,ポートミラーリング,ポートミラーリングは、主にネットワークのトラブルシューティングと診断に使用される方法です。これにより、スイッチがネットワークパケットのコピーをネットワーク監視接続に送信できるようになります。設定を誤ると悪意のある目的に使用される可能性がありますが、盗聴のように本質的に悪意を示すものではありません。,盗聴,有線ネットワークの文脈における盗聴とは、ネットワークの物理インフラストラクチャ (ケーブル)に直接接続して、データトラフィックを監視およびキャプチャする行為を指します。これは通信を盗聴する直接的な方法です。,"Threats, Vulnerabilities, and Mitigations"
問題89,データ損失防止（DLP）の重要性に関して、次の記述のうち正しくないものはどれですか?,DLPシステムは、悪意のある攻撃者によるシステムへのアクセスを防ぐビジネスシステムの開発に不可欠です。,DLPツールは、データセキュリティポリシーを適用することにより、機密データの機密性と完全性を確保します。,DLPツールはデータセキュリティポリシーを強制するため、組織内の機密データの機密性を維持するのに役立ちます。,DLPシステムは、悪意のある攻撃者によるシステムへのアクセスを防ぐビジネスシステムの開発に不可欠です。,これは、システムへのアクセスを防ぐものではなく、データの損失を防ぐためのものです。,DLPソリューションは、機密データが意図せず配布されるのを防ぐのに役立ちます。,DLPソリューションの主な目的は、機密データを不正アクセスや不用意な配布から保護することです。,DLPシステムには、潜在的なデータ侵害を検出し、予防措置を講じる機能があります。,DLPシステムは潜在的なデータ侵害を特定することができ、管理者に警告したり、ユーザーの操作をブロックしたりするなどの修正および予防措置を講じることができます。,Security Operations
問題2,組織のセキュリティ対策を検討していると、人事部門の従業員は給与計算システムにのみアクセスでき、ITスタッフはシステム管理ツールにのみアクセスできるというルールセットを見つけました。次の原則のうち、実証されているのはどれですか?,ポリシー主導のアクセス制御,任意のアクセス制御,任意のアクセス制御ではユーザーは自分のファイルへのアクセスを誰に許可するかについてある程度の裁量権を持ちます。,ポリシー主導のアクセス制御,ポリシー主導のアクセス制御では、組織の役割または要件に基づいて権限を設定する必要があります。たとえば、人事担当者が給与システムにのみアクセスできるようにすることで、この原則が具体化されます。回答は不正解です,役割ベースのアクセス制御,ロールベースのアクセス制御では、組織内で事前定義されたロールに基づいてアクセス許可が割り当てられます。その後、個人に役割が割り当てられます。,強制的なアクセス制御,強制アクセス制御では、情報にセキュリティラベルを割り当て、そのラベルに基づいてアクセスを許可します。,"Threats, Vulnerabilities, and Mitigations"
問題7,あなたは、機密性の高い顧客データを扱う金融機関のセキュリティ管理者です。IDおよびアクセス管理(IAM)戦略の一環として、ユーザーのアクセス権の正確性と有効性を保証するための認証プロセスを実装しています。このシナリオにおけるアテステーションの目的を最もよく表しているのは次のうちどれですか?,データ所有者がすべてのユーザーのアクセス権を定期的にレビュー、検証、確認するプロセス,従業員が会社のセキュリティポリシーの受け入れを確認する文書に署名する必要がある手順,セキュリティポリシーの受け入れを確認することは重要ですが、それは証明の主な目的ではありません。このステートメントは、アクセス権の検証に特化したものではなく、一般的な承認プロセスについて説明しています。回答は不正解です,機密データにアクセスするためにユーザーが指紋や網膜スキャンなどの生体認証を行う必要があるプロセス,生体認証は有効なセキュリティ対策ですが、認証の目的ではありません。生体認証に取り組む場合は、アクセス権の検証ではなく、ユーザー検証の方法に焦点を当てます。,データ所有者がすべてのユーザーのアクセス権を定期的にレビュー、検証、確認するプロセス,IAMのコンテキストでは、アテステーションは、データ所有者または管理者がすべてのユーザーのアクセス権を検証および確認する定期的なレビュープロセスを指します。これにより、ユーザーが自分の職務に必要な適切な権限を確実に持ち、不必要または不適切なアクセス権が即座に取り消されるようになります。,金融機関の全体的なセキュリティ体制を評価するために外部規制機関によって実行される監査,規制当局による外部監査は、内部認証プロセスとは別のものです。これらは、組織の関連規制への準拠を評価しますが、ユーザーのアクセス権の正確さについては特に言及しません。,"Threats, Vulnerabilities, and Mitigations"
問題8,ゼロトラストモデルにおいて、次のコンポーネントのうち、ポリシー、ID検証、脅威分析に基づいて、誰がどのリソースにアクセスできるかを決定することに重点を置いているのはどれですか?,コントロールプレーン,データプレーン,データプレーンはデータの送信を管理するものであり、アクセス権は決定されません。むしろ、コントロールプレーンによってアクセスが許可されると、指定された受信者にデータが正しく効率的に流れることが保証されます。,暗黙的なトラストゾーン,暗黙的なトラストゾーンはセキュリティチェックなしで通信が許可されるネットワーク内の領域です。これらはゼロトラストのコンポーネントではありますが、コントロールプレーンやデータプレーンと同じように意思決定やデータ送信において機能するわけではありません。,コントロールプレーン,ゼロトラストフレームワーク内では、コントロールプレーンはアクセス要求を決定する責任があります。これらのリクエストは、ポリシーを参照し、リクエスト者の身元を確認し、潜在的な脅威を考慮した上で処理されます。,ポリシー主導のアクセス制御,ポリシー主導のアクセス制御は、明確に定義されたポリシーに基づいてアクセスが確実に提供されるようにする特定の戦略です。これは、フレームワークのコアコンポーネントというよりも、コントロールプレーン内で使用される戦術に近いものです。,Security Operations
問題9,セキュリティアーキテクチャのテスト中に、プライマリシステムに障害が発生した場合に、システムがスタンバイに迅速に切り替わることを保証する方法は何ですか?,フェイルオーバー,クラスタリング,クラスタリングは、高可用性と負荷分散にとって重要ではありますが、システム障害が発生した場合に制御を迅速に切り替えることが保証されるわけではありません。,ウォームサイト,ウォームサイトでは、多くの機器とセットアップがすでに現場にあります。稼働を続けることはできますが、その場合にはデータをロードする必要があります。つまり、ウォームサイトは迅速な切り替えを保証しているものではありません。,並列処理,並列処理の利点には、速度の向上と耐障害性の向上が含まれます。また、低パフォーマンスのCPUを複数使用すると、高価で高性能のCPUが必要なくなる可能性があるため、コストが安くなる可能性があります。ですが、これはシステムがスタンバイに切り替わることとは関係ありません。,フェイルオーバー,フェイルオーバーは、重大な障害が発生した後も組織の稼働を継続することを目的としています。並列処理では、複数のCPUを使用して、より大きなタスクのさまざまな部分を処理しますが、タスクを別々の部分に分割する必要があります。,Security Architecture
問題16,Netflowの重要性を最もよく説明しているのは次のうちどれですか?,Netflowは、ネットワークトラフィックを可視化し、潜在的なセキュリティ脅威の特定に役立つネットワークツールです。,Netflowは、ネットワークトラフィックを監視およびフィルタリングして、不正アクセスを防止するハードウェアベースのセキュリティアプライアンスです。,Netflowはハードウェアベースのセキュリティアプライアンスではなく、ネットワークの監視および分析ツールです。,Netflowは、ネットワーク上のデバイス間の安全なデータ送信と暗号化に使用されるプロトコルです。,安全なデータの送信と暗号化は不可欠ですが、Netflowは特にこれらの目的で使用されるプロトコルではありません。,Netflowは、ネットワークトラフィックを可視化し、潜在的なセキュリティ脅威の特定に役立つネットワークツールです。,Netflowは、ネットワークトラフィックを可視化し、管理者がネットワーク全体のデータフローを理解して分析できるようにするネットワーク監視および分析ツールです。これは、潜在的なセキュリティ脅威や異常な動作を特定するのに役立ちます。,Netflowは、ネットワークトラフィックを検査し、悪意のあるパケットをブロックしてサイバー攻撃を防ぐファイアウォールの一種です。,Netflowはファイアウォールではありません。,Security Program Management and Oversight
問題18,Abdulは、自分の会社ですべてのベンダーのサプライチェーン分析を行うことを提案しました。これには費用と時間がかかります。コストがかかるにもかかわらず、企業がサプライチェーン分析を実施することが重要なのはなぜですか?,ベンダーのサプライチェーンに関連する潜在的なセキュリティリスクを特定するため,ベンダーが法的規制を遵守しているかどうかを評価し、企業が法的規制を遵守し続けるようにするため,ベンダーの法的規制への準拠を評価することは、ベンダーが適用される法律や規制を確実に順守していることを確認するために重要ですが、それはサプライチェーン分析の主な目的ではありません。,ベンダーのサプライチェーンに関連する潜在的なセキュリティリスクを特定するため,サプライチェーン分析の目的は、サードパーティサプライヤーが提供する製品、コンポーネント、サービスの脆弱性など、ベンダーのサプライチェーンに関連する潜在的なセキュリティリスクを特定することです。,倒産や閉店によってサプライチェーンが寸断されないように、ベンダーの財務的安定性を評価するため,ベンダーの財務的安定性を評価することは、ベンダーが契約上の義務を履行し、サービスを提供し続ける能力を判断するために不可欠ですが、セキュリティの脆弱性を引き起こす可能性のある他の側面には対処していません。,最良のサプライヤーのみが選択されるように、ベンダーの顧客満足度評価を決定するため,ベンダーの顧客満足度の評価は、ベンダーの製品とサービスの品質の評価に関連しますが、Abdulの会社にセキュリティリスクに関する情報が提供されるわけではありません。,General Security Concepts
問題24,複数の国で事業を展開する国際的な研修会社であるDionTrainingでは、経営陣は事業範囲を考慮し、プライバシーとコンプライアンスの法的影響について懸念しています。このシナリオにおける法的影響の範囲を最も適切に説明しているものは次のうちどれですか?,グローバル,国内,国内への影響とは、特定の国の中に限定される法的影響です。,グローバル,グローバルな影響とは、複数の国にわたるデータ保護とプライバシー規制への影響を考慮し、国際的に適用されるプライバシーとコンプライアンスの法的影響を指します。,ローカル/地域,ローカル/地域への影響とは、特定の国または地域に特有の法的影響を指します。,データローカリゼーション,データローカライゼーションとは、特定の国の領土境界内でのデータの保存と処理を規定する法律または規制を指すものであり、主にローカルデータ処理要件に焦点を当てています。,General Security Concepts
問題28,Dion Training SolutionsのIT管理者であるJamarioは、リモート従業員のWebトラフィックを管理および監視するために、エージェントベースのWebフィルタソリューションを導入することを検討しています。この目的で従来のゲートウェイベースのフィルターよりもエージェントベースのWebフィルターを実装することの最大の利点は次のうちどれですか?,ユーザーの場所に関係なく、一貫したポリシーを適用できること,ハードウェアが不要なため、総所有コスト(TCO)が削減されること,特定のハードウェアを必要とせずにコストをいくらか節約できる可能性もありますが、エージェントベースのソリューションにはライセンスやメンテナンスなどの独自のコストもかかります。,ゲートウェイソリューションよりも高速にトラフィックをフィルタリングできること,フィルタリングの速度は、フィルタリングソリューションの種類だけでなく、ソフトウェアの効率、ソフトウェアが実行されているハードウェア、ネットワーク全体の容量など、多くの要因に依存します。,ユーザーの場所に関係なく、一貫したポリシーを適用できること,エージェントベースのWebフィルタは、エンドユーザーのデバイスに直接インストールされ、ユーザーが企業ネットワーク上にいるかリモートで作業しているかにかかわらず、フィルタリングポリシーが一貫して適用されるようにします。,アップデートやメンテナンスが必要ないこと,エージェントベースのWebフィルタを含むすべてのソフトウェアは、最新の脅威に対して効果的であり、現在のシステムと互換性があることを確認するためにアップデートが必要です。,Security Operations
問題29,コンピュータハードウェアコンポーネント、オペレーティングシステム、アプリケーションをサポートするコアサービスにおける不正な変更や潜在的な侵害を検出するために主に利用されるテクノロジは次のうちどれですか?,ホストベースの侵入検知システム(HIDS),ネットワーク侵入検知システム(NIDS),NIDSは、特定のコンピューティングシステムの内部ではなく、インフラストラクチャに焦点を当て、ネットワーク上のトラフィックを監視および分析します。,ホストベースの侵入検知システム(HIDS),HIDSはコンピューティングシステムの内部を監視および分析し、不正なアクティビティやポリシー違反を検出するため、システム監視に適しています。,セキュリティ情報およびイベント管理(SIEM),SIEMはさまざまなソースからログデータを集約し、このデータをアラートに使用しますが、コンピューティングシステムの内部に厳密に焦点を当てているわけではありません。,Webアプリケーションファイアウォール(WAF),WAFは、Webアプリケーションとの間のHTTPトラフィックを監視するように特別に設計されているため、必ずしもシステムレベルの監視ではなく、アプリケーションベースのセキュリティに最適です。,"Threats, Vulnerabilities, and Mitigations"
問題33,多国籍企業であるWonka Industriesは、別の都市に新しいオフィスを開設することを計画しています。会社のITチームは、新しいオフィスに新しいセキュリティ要件が必要かどうかを判断したいと考えています。彼らは、コンピューティングリソースが潜在的な脅威から適切に保護されるようにしたいと考えています。新しい要件が必要かどうかを判断するためにWonka Industriesが行うべきことは次のうちどれですか?,脆弱性評価と侵入テストの実施,現地調査の実施,調査においては、壁や他の干渉によって信号がどのようにブロックされるかを検討します。これらは、最も強力で信頼性の高い信号を提供するためにWAPを配置する場所を決定するために使用されます。これらはセキュリティ機器が確実に通信できるようにするために使用される場合がありますが、セキュリティ対策とは異なります。,オフィスの全エリアに監視カメラを設置,監視カメラの設置は物理的なセキュリティに対する有効なセキュリティ対策ですが、サイト調査中のコンピューティングリソースのセキュリティには直接対応するものではありません。これは主に、オフィスの敷地内での活動の監視と記録に役立ちますが、ITインフラストラクチャのセキュリティ体制は評価しません。,脆弱性評価と侵入テストの実施,脆弱性評価と侵入テストの実行は、サイト調査における重要なセキュリティ技術です。このプロセスは、新しいオフィスのコンピューティングリソースとネットワークインフラストラクチャの潜在的な弱点とセキュリティ上の欠陥を特定するのに役立ちます。実際の攻撃をシミュレーションすることで、ITチームはシステムやアプリケーションがさまざまな脅威にどれだけ耐えられるかを評価できます。この評価の結果は、コンピューティングリソースを効果的に保護するための堅牢なセキュリティ計画の開発に役立ちます。,全従業員に生体認証を導入,生体認証を導入するとセキュリティが強化されますが、生体認証はどちらかというとアクセス制御手段であり、新しいオフィスのコンピューティングリソースに特有の潜在的な脆弱性やリスクには対処しません。新しい場所での脆弱性評価と侵入テストが必要かどうかを判断する前に、脆弱性評価と侵入テストを実行する必要があります。Wi-Fiシステムの設置には現場調査が行われます。,"Threats, Vulnerabilities, and Mitigations"
問題46,暗号化標準内の鍵管理手順に通常含まれない側面はどれですか?,"ユーザーのパスワード管理, 新しい暗号化方式をサポートするためにソフトウェアを定期的に更新する",鍵の生成、配布、保管、ローテーション,鍵の生成、配布、保管、ローテーションは鍵管理手順に含まれます。選択は正解です,ユーザーのパスワード管理,ユーザーパスワード管理は通常、ユーザーパスワードが作成、変更、保存される方法を指し、暗号の管理手順とは別のものです。,侵害された鍵を取り消す,侵害された鍵を取り消す手順は管理の重要な部分であり、侵害された鍵を無効にして不正アクセスを防止します。正しい選択,新しい暗号化方式をサポートするためにソフトウェアを定期的に更新する,新しい暗号化方式のソフトウェア更新は重要ですが、鍵の管理の一部ではありません。,Security Operations
問題47,ISO/IEC27001の原則をクラウドコンピューティング環境に拡張し、クラウドサービスプロバイダーに固有のガイドラインを提供する規格はどれですか?,ISO/IEC27017,NIST特別出版物800-63,NIST出版物は、クラウドコンピューティングのセキュリティについては特に取り上げていません。,ISO/IEC27017,ISO/IEC27017はISO/IEC27001の拡張であり、情報セキュリティ管理システム(ISMS)に基づいて情報セキュリティを管理するためのクラウド固有のガイダンスを提供します。,FIPS,FIPSはクラウドサービスに特化したものではなく、連邦政府のコンピュータシステム内の暗号モジュールの要件に焦点を当てています。,ISO/IEC27018,ISO/IEC27018はクラウドサービスに関連していますが、パブリッククラウドにおける個人を特定できる情報の保護に焦点を当てており、ISO/IEC27017ほど広範にはクラウドサービスのセキュリティに焦点を当てていません。,"Threats, Vulnerabilities, and Mitigations"
問題48,Wise Technologiesは、会計および財務アプリケーションのログイン認証情報を収集しようとする攻撃者を引き付けるために、偽のユーザー名またはパスワードを作成しました。彼らは、これにより攻撃者が実際のログイン認証情報から遠ざけることを期待しています。彼らが作成したものは次のうちどれですか？,ハニートークン,ハニーポット,ハニーポットは、作られた攻撃ターゲットを使用してサイバー犯罪者を正当なターゲットから遠ざけ、その身元、手口、動機に関する情報を収集するサイバーセキュリティの仕組みです。,ハニーネット,ハニーネットは、実際のネットワークをシミュレートし、攻撃者を引き付けるように設計されたハニーポットのネットワークです。,ハニーファイル,ハニーファイルとは、実際の機密情報は含まないものの、価値のある情報が含まれているように見せかけた偽装ファイルです。,ハニートークン,ハニートークンは、ユーザー名やパスワードなどの偽のデータであり、攻撃者を引き付けるために貴重または機密であるように見えるよう設計されています。,"Threats, Vulnerabilities, and Mitigations"
問題58,DionTrainingはゼロトラストモデルを導入しました。ユーザーまたはデバイスがネットワークと対話する前に検証されるのは、データプレーンのコンポーネントのうちどれですか?,サブジェクト,ポリシーエンジン,ポリシーエンジンは、事前定義されたポリシーとサブジェクト/システムに関するコンテキスト情報に基づいて、アクセス制御の決定を行う責任があります。,ポリシー実施ポイント,ポリシー実施ポイントは、ポリシーエンジンによって行われたアクセス制御の決定を実施する責任があります。,サブジェクト,サブジェクトは、リソースへのアクセスを要求しているエンティティ(ユーザーまたはデバイス)を指します。アクセスが許可される前に認証される必要があります。,ポリシー管理者,ポリシー管理者は、ポリシーエンジンによって使用されるアクセスコントロールポリシーの定義と管理を担当します。,Security Architecture
問題59,DionTrainingは、ネットワークに接続するデバイスを規制する必要があります。安全性を高めるには、デバイスを固有の物理アドレスに基づいて規制する必要があります。次の機能のうち、ニーズに最もよく応えるのはどれですか?,ポートセキュリティ,ポートセキュリティ,マネージドネットワークスイッチの機能であるポートセキュリティを使用すると、組織は物理アドレス(MACアドレス)に基づいてネットワークに接続できるデバイスを制限できるため、このシナリオの要件を満たすことができます。,フェールオープン,フェールオープンは、デバイスに障害が発生した場合でもネットワークトラフィックの継続を許可する障害モードです。どのデバイスがネットワークに接続できるかを直接制御するものではありません。回答は不正解です,ジャンプサーバー,ジャンプサーバーは主に異なるセキュリティゾーンにあるデバイスへの安全なアクセスを提供しますが、デバイスの物理アドレスに基づいてネットワーク接続を特に制御するわけではありません。,トランスポート層セキュリティ(TLS),TLSは、ネットワーク上の通信を暗号化するプロトコルですが、本質的にデバイスの物理アドレスに基づいてアクセスを制御するものではありません。,Security Architecture
問題70,DionTrainingは、生徒の記録を保存するシステムを設計しています。彼らは、レコード全体を一度に暗号化し、クエリ時に効率的な暗号化と復号のプロセスを確保したいと考えています。この設計に最も適した暗号化レベルはどれですか?,データベースの暗号化,レコードレベルの暗号化,レコードレベルの暗号化では、データベース内の個々のレコードが暗号化されるため、多数のレコードを対象としたクエリを実行するときに非効率が生じる可能性があります。,パーティションの暗号化,パーティション暗号化はディスク上の特定のパーティションを暗号化しますが、データベース操作には向いていません。,データベースの暗号化,SQLServerの透過的データ暗号化(TDE)などのテクノロジは、データベース全体を暗号化する機能を提供します。これは、データベース操作中に生徒の記録のコレクション全体を効率的に暗号化および復号できるため、DionTrainingにとって理想的です。,ボリューム暗号化,ボリューム暗号化はボリューム全体または仮想ドライブ全体を保護しますが、データベース操作に必要な効率性を担保できない場合があります。,Security Architecture
問題76,Kelly InnovationsLLCのEmilyは最近、会社のワイヤレスネットワークにWPA3-Enterprise認証方式を実装しました。ある朝、会社のITスペシャリストであるJakeはログを確認し、1台の未確認のデバイスが5分以内に複数回ネットワークへの接続を試みていることに気付きました。ログには、デバイスが正常に認証されなかったことが示されていましたが、その持続的な接続試行によりJakeは懸念を抱きました。ジェイクが考慮すべき事象（懸念事項）は次のうちどれですか?,WPA3-Enterpriseシステムに対する総当たり攻撃の可能性,WPA3-Enterpriseシステムに対する総当たり攻撃の可能性,短期間に何度も認証を試みる場合、特に成功しない場合は、攻撃者が正しい組み合わせを見つけようとして複数の組み合わせを試みる総当たり攻撃の典型的な兆候といえます。,インターネットにアクセスしようとする自動ソフトウェア更新,ソフトウェアの更新では、そのような方法でワイヤレスシステムで繰り返し認証する必要がないため、これが理由になる可能性は考えられません。,複数回の接続試行というネットワークノイズ,持続的かつ迅速な接続試行は単なる通常の「ネットワークノイズ」ではないため、特に安全な環境では無視すべきではありません。回答は不正解です,従業員の新しいデバイスからの定期的な接続試行,従業員が新しいデバイスに接続しようとしている可能性はありますが、これほど短期間に試行が何度も失敗するということは、それが単なる日常的な接続ではない可能性を示唆しています。,Security Architecture
問題86,ゼロトラストフレームワーク内のデータプレーンを最もよく説明しているのは次のどれですか?,データ転送後のアクセスの承認をします,アクセスを決定するためのポリシーを参照します,コントロールプレーンは、ポリシーを参照してアクセスを決定する責任を負い、ゼロトラストモデルにおける責任の明確な分割を強調しています。,動的なセキュリティの決定に焦点を当てます,コントロールプレーンは、動的なセキュリティの決定に重点を置いています。,データ転送後のアクセスの承認をします,ゼロトラストフレームワーク内のデータプレーンは、データ転送後のアクセスの承認をします。これは、アクセスの決定を担当するコントロールプレーンとは異なる役割です。,本人確認によりアクセスを決定します,コントロールプレーンはポリシーを適用し、アクセス可否を決定します。,Security Program Management and Oversight
問題87,セキュリティアナリストのTobyは、会社の境界ネットワークへのゲートウェイとして機能するデバイスの使用を開始することを提案しました。インストールすると、境界ネットワークへの唯一の入り口となり、企業の最も重要なデータのセキュリティが強化されます。トビーは会社に何を使い始めようと提案していますか?,ジャンプサーバー,フェールクローズ,フェールクローズとは、ネットワークでエラーや例外が発生したときに何が起こるかを示したものです。フェールクローズとは、エラーが発生したり例外が発生したりしたときに、システムがそれ以降のアクセスを拒否することを意味します。これにより、エラーまたは例外が処理されるまで、ネットワークトラフィックが防止されます。これによりセキュリティは強化されますが、発生したエラーが軽微な場合やセキュリティ上の脅威にならない場合でも、Weｂサイトにアクセスできなくなってしまいます。回答は不正解です,セキュアアクセスサービスエッジ(SASE),セキュアアクセスサービスエッジ(SASE)は、WAN機能とネットワークセキュリティサービスを単一のクラウドサービスに結合するクラウドネイティブアーキテクチャです。境界ネットワークへのゲートウェイとしては機能しません。,ジャンプサーバー,ジャンプサーバーはネットワークアプライアンスです。1つのチャネルを使用して、ファイアウォール経由でトラフィックを集中させます。ジャンプサーバーは、トラフィックがシステムに入るルートを制限することでセキュリティを強化します。,侵入防御システム(IPS),IPSは潜在的な脅威を検出して防止できますが、境界ネットワークへの安全なアクセスを提供するようには設計されていません。,Security Operations
問題89,Software-as-a-Service企業であるDionTrainingSolutionsは、遅延の問題に直面しています。ITチームは、大量のトラフィックが流入していることを発見し、場合によっては止まってしまうかもしれないと考えています。その特徴は、受信データが会社が行ったことのないリクエストに対するレスポンスであるように見えることです。これらの応答は、世界中に散在する広範囲のIPアドレスから送信されました。このシナリオで最も適切に説明できるのは、次の種類の悪意のあるアクティビティのうちどれですか?,リフレクションDDoS攻撃,増幅型DDoS攻撃,増幅型DDoS攻撃には偽造されたIPアドレスの使用も含まれますが、通常、増幅された量のトラフィックを被害者に送信するための小規模なサーバーのセットに依存します。,リフレクションDDoS攻撃,リフレクションDDoS攻撃では、攻撃者は、被害者のIPである偽装された送信元IPアドレスを使用して、複数のサードパーティサーバーにリクエストを送信します。これらのサーバーは、リクエスト要求が被害者のIPアドレスから発信されたものであると考えて、被害者に応答します。応答するIPアドレスの範囲が広いことと、受信トラフィックの性質は、反射（リフレクト）された攻撃を示しています。,SQLインジェクション,SQLインジェクション攻撃は、Webアプリケーションのデータベースで悪意のあるSQLコードを実行しようとしますが、広範囲にわたる応答トラフィックの流入は引き起こしません。,フィッシングキャンペーン,フィッシングキャンペーンとは、偽の電子メールやWebサイトを使用して個人情報を収集しようとする手法です。未承諾のトラフィックのレスポンスが殺到することはありません。,Security Architecture
問題9,潜在的な侵害の拡大を防ぐために、さまざまなネットワークコンポーネントを確実に分離する緩和手法はどれですか?,隔離,最小特権,最小特権では、ユーザーに不必要なアクセス権を付与せず、タスクの実行に必要な権限のみを付与します。これはシステムの分離に直接関係するものではありません。回答は不正解です,セグメンテーション,ネットワークを個別の部分またはセグメントに分割することは、パフォーマンスとセキュリティを向上させるために行われますが、特にコンポーネントを相互に完全に分離することに重点を置くわけではありません。,暗号化,暗号化、つまり不正アクセスを防ぐためにデータをコードに変換するプロセスは、本質的にネットワークコンポーネントの分離とは関係ありません。,隔離,コンポーネントまたはシステムを隔離すると、ある部分の破損が容易に拡散したり他の部分に影響を与えたりすることがなくなり、影響を受けていない部分の完全性が維持されます。,"Threats, Vulnerabilities, and Mitigations"
